Detail 1.1.1 ,,,,,,,,,
"Window Wall System ""½ Spandrel Panel Clear Wall with No Interior Stud Cavity Insulation",,,,,,,,,
4,"3 5/8""½ x 1 5/8""½ Steel Studs",18 gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
5,Exterior Sheathing,"1/2""½ (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),385,5.005,
6,Exterior Insulation,Varies,-,R-5 to R-25 (0.88 to 4.4 RSI),1.8 (28),0.29 (1220),22.7,1.135,
7,"Horizontal Z-Girts w/ 1 1/2""½ Flange",18 gauge,430 (62),-,489 (7830),0.12 (500),10614,,
8,"Metal cladding with 1/2""½ (13mm) vented air space is incorporated into exterior heat transfer coefficient",,,,,,N/A,N/A,
9,Exterior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.81,0.00000081,
Detail 5.1.10,,,,,,,,,
"Exterior and Interior Insulated 6""½ x 1 5/8""½ Steel Stud (16""½ o.c.) Wall Assembly with Horizontal Z-Girts (24""½ o.c.) Supporting Cladding, Owens Corning ThermaFiber RainBarrier HC Max Insulation and",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),Total EC for thickness,Assembly total EC
1,Interior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.8,0.0000008,12.17252441
2,Gypsum Board,"5/8"" (16)",1.1 (0.16),R-0.6 (0.10 RSI),50 (800),0.26 (1090),3.75,0.06,
3,"6""½ x 1 5/8""½ Steel Studs",18 Gauge,430 (62),-,489 (7830),0.12 (500),10614,0.0010614,
4,Ecotouch Pink Fiberglass Batt,"6""½ (152)",0.30 (0.043),R-20 (3.52 RSI),0.55 (8.8),0.17 (710),22.7,3.4504,
5,Exterior Sheathing,"5/8"" (16)",1.1 (0.16),R-0.6 (0.10 RSI),50 (800),0.26 (1090),385,6.16,
6,ThermaFiber RainBarrier HC Max Mineral Wool Semi Rigid Insulation,Varies,0.25 (0.036),R-4 to R-24 (0.70 to 4.23 RSI),11 (176),0.20 (850),50,2.5,
7,"Horizontal Z-Girts with 1-1/2""½ Flange",18 gauge,430 (62),-,489 (7830),0.12 (500),10614,0.0010614,
8,"Metal Cladding with 1/2""½ (13 mm) vented airspace incorporated into exterior heat transfer coefficient",,,,,,N/A,N/A,
9,Exterior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.81,0.00000081,
Detail 5.1.11,,,,,,,,,
"Exterior and Interior Insulated 6""½ x 1 5/8""½ Steel Stud (16""½ o.c.) Wall Assembly with Horizontal Z-Girts (24""½ o.c.) Supporting Cladding, Owens Corning ThermaFiber RainBarrier HC Plus 110 Insulation and R-20 Batt Insulation in Stud Cavity ""½ Clear Wall",,,,,,,,,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),,
1,Interior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.8,0.0000008,
2,Gypsum Board,"5/8"" (16)",1.1 (0.16),R-0.6 (0.10 RSI),50 (800),0.26 (1090),3.75,0.06,
3,"6""½ x 1 5/8""½ Steel Studs",18 Gauge,430 (62),-,489 (7830),0.12 (500),10614,0.0010614,
4,Ecotouch Pink Fiberglass Batt,"6""½ (152)",0.30 (0.043),R-20 (3.52 RSI),0.55 (8.8),0.17 (710),N/A,N/A,
5,Exterior Sheathing,"5/8"" (16)",1.1 (0.16),R-0.6 (0.10 RSI),50 (800),0.26 (1090),385,6.16,
6,ThermaFiber RainBarrier HC Plus 110 Mineral Wool Semi Rigid Insulation,Varies,0.24 (0.035),R-4.1 to R-24.6 (0.72 to 4.33 RSI),8 (128),0.20 (850),N/A,N/A,
7,"Horizontal Z-Girts with 1-1/2""½ Flange",18 gauge,430 (62),-,489 (7830),0.12 (500),N/A,N/A,
8,"Metal Cladding with 1/2""½ (13 mm) vented airspace incorporated into exterior heat transfer coefficient",,,,,,N/A,N/A,
9,Exterior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.81,0.00000081,
Detail 5.1.12,,,,,,,,0,
"Exterior and Interior Insulated 6""½ x 1 5/8""½ Steel Stud (16""½ o.c.) Wall Assembly with Horizontal Z-Girts (24""½ o.c.) Supporting Cladding, Owens Corning ThermaFiber RainBarrier 45 Insulation and R-20 Batt Insulation in Stud Cavity ""½ Clear Wall",,,,,,,,0,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),,
1,Interior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.8,0.0000008,
2,Gypsum Board,"5/8"" (16)",1.1 (0.16),R-0.6 (0.10 RSI),50 (800),0.26 (1090),3.75,0.06,
3,"6""½ x 1 5/8""½ Steel Studs",18 Gauge,430 (62),-,489 (7830),0.12 (500),10614,0.0010614,
4,Ecotouch Pink Fiberglass Batt,"6""½ (152)",0.30 (0.043),R-20 (3.52 RSI),0.55 (8.8),0.17 (710),N/A,N/A,
5,Exterior Sheathing,"5/8"" (16)",1.1 (0.16),R-0.6 (0.10 RSI),50 (800),0.26 (1090),385,6.16,
6,ThermaFiber RainBarrier 45 Mineral Wool Semi Rigid Insulation,Varies,0.24 (0.034),R-4.2 to R-25.2 (0.74 to 4.44 RSI),4.5 (72),0.20 (850),N/A,N/A,
7,"Horizontal Z-Girts with 1-1/2""½ Flange",18 gauge,430 (62),-,489 (7830,0.12 (500),N/A,N/A,
8,"Metal Cladding with 1/2""½ (13 mm) vented airspace incorporated into exterior heat transfer coefficient",,,,,,N/A,N/A,
9,Exterior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.81,0.00000081,
Detail 5.1.13,,,,,,,,0,
"Exterior and Interior Insulated 3 5/8""½ x 1 5/8""½ Steel Stud (16""½ o.c.) Wall Assembly with Vertical Z-girts (16""½ o.c.) Supporting Stucco Cladding and R-12 Batt Insulation in Stud Cavity ""½ Clear Wall",,,,,,,,0,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),,
1,Interior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.8,0.0000008,
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,"3 5/8""½ x 1 5/8""½ Steel Studs",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
4,Fiberglass Batt Insulation,"3 5/8""½ (92)",0.31 (0.044),R-12 (2.1 RSI),0.9 (14),0.17 (710),9.98,0.12974,
5,Exterior Sheathing,"1/2""½ (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),385,5.005,
6,"Vertical Z-Girts with 1 1/2""½ Flange",18 Gauge,430 (62),-,489 (7830),0.12 (500),N/A,N/A,
7,Exterior Insulation,Varies,-,R-10 to R-20 (1.76 to 3.52 RSI),1.8 (28),0.29 (1220),22.7,1.135,
8,Rigid Insulation Bracing,Varies,0.2 (0.029),-,1.8 (28),0.29 (1220),N/A,N/A,
9,Rainscreen Cavity,"1/2""½ (13)",-,R-0.5 (0.09 RSI),0.075 (1.2),0.24 (1000),N/A,N/A,
10,Stucco Cement with Breather Board,"1/2""½ (13)",6 (0.9),R-0.1 (0.01 RSI),120 (1922),0.20 (850),N/A,N/A,
11,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 5.1.14,,,,,,,,0,
"Exterior and Interior Insulated 3 5/8? x 1 5/8? Steel Stud (16? o.c.) Wall Assembly with Horizontal Z-Girts (24? o.c.) Supporting Metal Cladding and R-12 Batt Insulation in Stud Cavity ""½ Clear Wall",,,,,,,,0,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),,
1,Interior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.8,0.0000008,
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,Fiberglass Batt Insulation,"3 5/8""½ (92)",0.31 (0.044),R-12 (2.1 RSI),0.9 (14),0.17 (710),9.98,0.12974,
4,"3 5/8""½ x 1 5/8""½ Steel Studs",18 gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
5,Exterior Sheathing,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),385,5.005,
6,Exterior Insulation,Varies,-,R-5 to R-25 (0.88 to 4.4 RSI),1.8 (28),0.29 (1220),22.7,1.135,
7,"Horizontal Z-girts w/ 1 1/2""½ Flange",18 gauge,430 (62),-,489 (7830),0.12 (500),10614,0.0010614,
8,"Metal cladding with 1/2""½ (13mm) vented air space is incorporated into exterior heat transfer coefficient",,,,,,N/A,N/A,
9,Exterior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.81,0.00000081,
Detail 5.1.15,,,,,,,,0,
"Exterior and Interior Insulated 6""½ x 1 5/8""½ Steel Stud (16""½ o.c.) Wall Assembly with Horizontal Z-Girts (24""½ o.c.) and 1 1/2"" Spray Foam (R-9.8) in Stud Cavity ""½ Clear Wall",,,,,,,,0,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),,
1,Interior Films1,-,-,R-0.7 (0.12 RSI),-,-,0.8,0.0000008,
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,"6""½ x 1 5/8""½ Steel Studs (16""½o.c.)",18 Gauge,250 (36),-,489 (7830),0.12 (500),N/A,N/A,
4,Air in Stud Cavity,"4 1/2""½ (114)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
5,Spray Foam Insulation,"1 1/2""½ (38)",-,R-9.8 (1.73 RSI),-,-,13.7,0.5206,
6,Exterior Sheathing,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),385,5.005,
7,Exterior Polyisocyanurate Insulation,"1 1/2"" (38)",-,R-10.1 (1.78 RSI),-,-,N/A,N/A,
8,"Horizontal Z-Girts (24""½ o.c.)",18 Gauge,250 (36),-,489 (7830),0.12 (500),N/A,N/A,
9,Metal Cladding with vented airspace incorporated into exterior heat transfer coefficient,,,,,,N/A,N/A,
10,Exterior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.81,0.00000081,
Detail 5.1.16,,,,,,,,0,
"Exterior Insulated 3 5/8? x 1 5/8? Steel Stud (16? o.c.) Wall Assembly with Vertical Z-Girts (24? o.c.) & Horizontal Z-Girts (24? o.c.) Supporting Metal Cladding ""½ Clear Wall",,,,,,,,0,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),,
1,Interior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.8,0.0000008,
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,Air in Stud Cavity,"3 5/8""½ (92)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 1000),0,0,
4,"3 5/8""½ x 1 5/8""½ Steel Studs",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
5,Exterior Sheathing,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),385,5.005,
6,"Exterior Insulation ""½ Horizontal Z- Girts",Varies,-,R-5 to R-25 (0.88 to 4.4 RSI),1.8 (28),0.29 (1220),N/A,N/A,
7,"Horizontal Z-Girts w/ 1 1/2""½ flange",18 Gauge,430 (62),-,489 (7830),0.12 (500),10614,0.0010614,
8,"Exterior Insulation ""½ Vertical Z-girts","1""½ (25)",-,R-5 (0.88 RSI),1.8 (28),0.29 (1220),N/A,N/A,
9,"Vertical Z-Girts w/ 1 1/2""½ Flange",18 Gauge,430 (62),-,489 (7830),0.12 (500),N/A,N/A,
10,"Metal cladding with 1/2""½ (13mm) vented air space is incorporated into exterior heat transfer coefficient",,,,,,N/A,N/A,
11,Exterior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.81,0.00000081,
Detail 5.1.17,,,,,,,,0,
"Exterior Insulated 3 5/8? x 1 5/8? Steel Stud (16? o.c.) Wall Assembly with Intermittent Vertical Z-Girts (16? o.c.) Supporting Metal Cladding ""½ Clear Wall",,,,,,,,0,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),,
1,Interior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.8,0.0000008,
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,Air in Stud Cavity,"3 5/8""½ (92)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
4,"3 5/8""½ x 1 5/8""½ Steel Studs",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
5,Exterior Sheathing,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),385,5.005,
6,Exterior Insulation,Varies,-,R-5 to R-25 (0.88 to 4.4 RSI),1.8 (28),0.29 (1220),22.7,1.135,
7,"Intermittent vertical Z-Girts w/ 1 1/2""½ Flange2",18 Gauge,430 (62),-,489 (7830),0.12 (500),N/A,N/A,
8,"Metal cladding with 1/2""½ (13mm) vented air space is incorporated into exterior heat transfer coefficient",,,,,,N/A,N/A,
9,Exterior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.81,0.00000081,
Detail 5.1.18,,,,,,,,0,
"Exterior Insulated 3 5/8""½ x 1 5/8""½ Steel Stud (16""½ o.c.) Wall Assembly with Horizontal Clips (24""½ o.c.) Supporting Metal Cladding ""½ Clear Wall",,,,,,,,0,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),,
1,Interior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.8,0.0000008,
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,"3 5/8""½ x 1 5/8""½ Steel Studs",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
4,Air in Stud Cavity,"3 5/8""½ (92)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
5,Exterior Sheathing,"1/2""½ (13)",1.1 (0.16),R-0.5 (0.09 RSI),50 (800),0.26 (1090),385,5.005,
6,"Horizontal Clips w/ 1 1/2""½ Horizontal Rail",18 Gauge,430 (62),-,489 (7830),0.12 (500),N/A,N/A,
7,Exterior Insulation,Varies,-,R-15 to R-25 (2.64 to 4.4 RSI),1.8 (28),0.29 (1220),22.7,1.135,
8,Panel Clip,14 Gauge,430 (62),-,489 (7830),0.12 (500),N/A,N/A,
9,"Metal Cladding with 1/2""½ vented airspace incorporated into exterior heat transfer coefficient",,,,,,N/A,N/A,
10,Exterior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.81,0.00000081,
Detail 5.1.19,,,,,,,,0,
"Exterior and Interior Insulated 3 5/8""½ x 1 5/8""½ Steel Stud (16""½ o.c.) Wall Assembly with Horizontal Clips (24""½ o.c.) Supporting Metal Cladding and R-12 Batt Insulation in Stud Cavity ""½ Clear Wall",,,,,,,,0,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),,
1,Interior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.8,0.0000008,
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,"3 5/8""½ x 1 5/8""½ Steel Studs",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
4,Fiberglass Batt Insulation,"3 5/8""½ (92)",0.31 (0.044),R-12 (2.1 RSI),0.9 (14),0.17 (710),9.98,0.12974,
5,Exterior Sheathing,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),385,5.005,
6,"Horizontal Clips w/ 1 1/2"" Horizontal Rail",18 Gauge,430 (62),-,489 (7830),0.12 (500),N/A,N/A,
7,Exterior Insulation,Varies,-,R-10 to R-20 (1.76 to 3.5 RSI),1.8 (28),0.29 (1220),22.7,1.135,
8,Panel Clip,14 Gauge,430 (62),-,489 (7830),0.12 (500),N/A,N/A,
9,"Metal Cladding with 1/2""½ vented airspace incorporated into exterior heat transfer coefficient",,,,,,N/A,N/A,
10,Exterior Film1,,-,R-0.7 (0.12 RSI),-,-,0.81,0,
Detail 5.1.20,,,,,,,,0,
"Exterior and Interior Insulated 3 5/8""½ x 1 5/8""½ Steel Stud (16""½ o.c.) Wall Assembly with Vertical Z Clips (16""½ o.c.) Supporting Stucco Cladding and R-12 Batt Insulation in Stud Cavity ""½ Clear Wall",,,,,,,,0,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),,
1,Interior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.8,0.0000008,
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,"3 5/8""½ x 1 5/8""½ Steel Studs",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
4,Fiberglass Batt Insulation,"3 5/8""½ (92)",0.31 (0.044),R-12 (2.1 RSI),0.9 (14),0.17 (710),9.98,0.12974,
5,Exterior Sheathing,"1/2""½ (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),385,5.005,
6,"Vertical Z-Clips with 1 1/2""½ Flange",18 Gauge,430 (62),-,489 (7830),0.12 (500),N/A,N/A,
7,Vertical Tracks,18 Gauge,430 (62),-,489 (7830),0.12 (500),N/A,N/A,
8,Exterior Insulation,Varies,-,R-10 to R-20 (1.76 to 3.52 RSI),1.8 (28),0.29 (1220),22.7,1.135,
9,Rigid Insulation Bracing,Varies,0.2 (0.029),-,1.8 (28),0.29 (1220),N/A,N/A,
10,Rainscreen Cavity,"1/2""½ (13)",-,R-0.5 (0.09 RSI),0.075 (1.2),0.24 (1000),N/A,N/A,
11,Stucco Cement with Breather Board,"1/2""½ (13)",6 (0.9),R-0.1 (0.01 RSI),120 (1922),0.20 (850),N/A,N/A,
12,Exterior Film1,-,-,R-0.2 (0.03 RSI),-,-,0.81,0.00000081,
Detail 5.1.21,,,,,,,,0,
"Exterior Insulated 6""½ x 1 5/8""½ Steel Stud (16""½ o.c.) Wall Assembly with Knight MFI-System (24""½ o.c.) Supporting Cladding ""½ Clear Wall",,,,,,,,0,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),,
1,Interior Films1,-,-,R-0.7 (0.12 RSI),-,-,0.8,0.0000008,
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,Air in Stud Cavity,"6""½ (152)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
4,"6""½ x 1 5/8""½ Steel Studs (16""½o.c.)",18 Gauge,430 (62),-,489 (7830),0.12 (500),N/A,N/A,
5,Exterior Sheathing,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),385,5.005,
6,Exterior Insulation,Varies,0.24 (0.034),R-8.4 to R-25.2 (1.48 to 4.44 RSI),1.8 (28),0.29 (1220),22.7,1.135,
7,"ThermaBrackets (24""½ o.c. vertically)",18 Gauge,347 (50),-,489 (7830),0.12 (500),N/A,N/A,
8,"Metal Cladding with 1/2"" vented airspace incorporated into exterior heat transfer coefficient",,,,,,N/A,N/A,
9,Exterior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.81,0.00000081,
Detail 5.1.22,,,,,,,,0,
"Exterior and Interior Insulated 6""½ x 1 5/8""½ Steel Stud (16""½ o.c.) Wall Assembly with Knight MFI-System (24""½ o.c.) Supporting Cladding and R-19 Batt Insulation in Stud Cavity ""½ Clear Wall",,,,,,,,0,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),,
1,Interior Films1,-,-,R-0.7 (0.12 RSI),-,-,0.8,0.0000008,
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,Fiberglass Batt Insulation,"6""½ (152)",-,R-19 (3.35 RSI),0.9 (14),0.17 (710),9.98,1.51696,
4,"6""½ x 1 5/8""½ Steel Studs (16""½o.c.)",18 Gauge,430 (62),-,489 (7830),0.12 (500),N/A,N/A,
5,Exterior Sheathing,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),385,5.005,
6,Exterior Insulation,Varies,0.24 (0.034),R-8.4 to R-25.2 (1.48 to 4.44 RSI),1.8 (28),0.29 (1220),22.7,1.135,
7,"ThermaBrackets (24""½ o.c. vertically)",18 Gauge,347 (50),-,489 (7830),0.12 (500),N/A,N/A,
8,"Metal Cladding with 1/2"" vented airspace incorporated into exterior heat transfer coefficient",,,,,,N/A,N/A,
9,Exterior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.81,0.00000081,
Detail 5.1.23,,,,,,,,0,
"Exterior Insulated 3 5/8""½ x 1 5/8""½ Steel Stud (16""½ o.c.) Wall Assembly with CL-Talon 300 Clip System Supporting Cladding ""½ Clear Wall",,,,,,,,0,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),,
1,Interior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.8,0.0000008,
2,Gypsum Board,"1/2""½ (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,"3 5/8""½ x 1 5/8""½ Steel Studs",16 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.016014,
4,Air in Stud Cavity,"3 5/8""½ (92)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
5,Exterior Sheathing,"1/2""½ (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),385,5.005,
6,Exterior Mineral Wool Insulation,"2""½ to 4""½ (51 to 102)",0.24 (0.034),R-8.4 to R-16.8 (1.48 RSI to 2.96 RSI),4 (64),0.20 (850),N/A,N/A,
7,"Aluminum Base Track, 16""½ o.c. horizontally","1/8""½ (3.3)",1422 (205),-,171 (2739),0.21 (900),N/A,N/A,
8,Therme Polyamide Clip,-,1.73 (0.25),-,-,-,N/A,N/A,
9,"Aluminum T-Track, 16""½ o.c. horizontally","1/8""½ (3.3)",1422 (205),-,171 (2739),0.21 (900),N/A,N/A,
10,Aluminum Wall Mount Supports,"1/8""½ (3.3)",1422 (205),-,171 (2739),0.21 (900),N/A,N/A,
11,"Generic Cladding with 1""½ (25mm) vented air space is incorporated into exterior heat transfer coefficient",,,,,,N/A,N/A,
12,Exterior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.81,0.00000081,
Detail 5.1.24,,,,,,,,0,
"Exterior Insulated 3 5/8""½""½ x 1 5/8""½""½ Steel Stud (16""½""½ o.c.) Wall Assembly with Thermally Broken Aluminum Clip Supporting Cladding ""½ Clear Wall",,,,,,,,0,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),,
1,Interior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.8,0.0000008,
2,Gypsum Board,"1/2"" (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),3.75,0.04875,
3,"3 5/8""½ x 1 5/8""½ Steel Studs",18 Gauge,430 (62),-,489 (7830),0.12 (500),16014,0.0016014,
4,Air in Stud Cavity,"3 5/8""½ (92)",-,R-0.9 (0.16 RSI),0.075 (1.2),0.24 (1000),0,0,
5,Exterior Sheathing,"1/2""½ (13)",1.1 (0.16),R-0.5 (0.08 RSI),50 (800),0.26 (1090),385,5.005,
6,Engineered Assemblies Aluminum Panel Clip (models T100 T125 150),"1/5""½ to 3/8""½""½ (5 to 10)",1110 (160),-,-,-,N/A,N/A,
7,Exterior Insulation,Varies,0.24 (0.034),R-16.8 to R-25.2 (2.96 to 4.44 RSI),1.8 (28),0.29 (1220),22.7,1.135,
8,Vertical/Horizontal Steel Girts,18 Gauge,430 (62),-,489 (7830),0.12 (500),N/A,N/A,
9,Cork/Neoprene pad,"1/16""½ (1.5)",0.329 (0.058),R-0.15 (0.03 RSI),-,-,N/A,N/A,
10,Aerogel,"3/8""½ (10)",0.086 (0.015),R-3.9 (0.68 RSI),,,N/A,N/A,
11,Steel Fasteners,"5/16""½ (8) ""½",347 (50),-,489 (7830),0.12 (500),N/A,N/A,
12,"Cladding with 1/2"" (13mm) vented airspace incorporated into exterior heat transfer coefficient",,,,,,N/A,N/A,
13,Exterior Film1,-,-,R-0.7 (0.12 RSI),-,-,0.81,0.00000081,
Detail 5.1.25,,,,,,,,0,
"Exterior Insulated 3 5/8""½ x 1/58""½ Steel Stud (16""½o.c.) Wall Assembly with TAC Fiber Reinforced Plastic Girts Supporting Cladding ""½ Clear Wall",,,,,,,,0,
ID,Component,Thickness Inches (mm),Conductivity Btu?in / ft2?hr?oF (W/m K),Nominal Resistance hr?ft2?oF/Btu (m2K/W),Density lb/ft3 (kg/m3),Specific Heat Btu/lb?oF (J/kg K),kgCO2e/m2 (A1-A3),,
